Table 6,,,,,,,,,,,
Crime in the United States,,,,,,,,,,,
"by Metropolitan Statistical Area, 2011",,,,,,,,,,,
Metropolitan Statistical Area,Counties/principal cities,Population,"Violent
crime","Murder and
nonnegligent
manslaughter","Forcible
rape",Robbery,"Aggravated
assault","Property
crime",Burglary,"Larceny-
theft","Motor
vehicle
theft"
,"Rate per 100,000 inhabitants",,344.5,5.1,22.1,92.6,224.7,"2,806.1",781.6,"1,918.4",106.1
"Poughkeepsie-Newburgh-Middletown, NY M.S.A.",,"673,314",,,,,,,,,
,Includes Dutchess and Orange Counties,,,,,,,,,,
,City of Poughkeepsie,"32,883",326,5,22,107,192,"1,029",283,693,53
,City of Newburgh,"28,996",527,4,11,254,258,"1,243",401,782,60
,City of Middletown,"28,212",163,2,9,57,95,947,167,755,25
,Total area actually reporting,98.4%,"1,604",16,95,535,958,"12,915","2,353","10,159",403
,Estimated total,100.0%,"1,623",16,96,542,969,"13,115","2,384","10,321",410
,"Rate per 100,000 inhabitants",,241.0,2.4,14.3,80.5,143.9,"1,947.8",354.1,"1,532.9",60.9
"Prescott, AZ M.S.A.",,"214,020", ,,,,, ,,,
,Includes Yavapai County,,,,,,,,,,
,City of Prescott,"40,407",171,4,12,13,142,"1,258",260,960,38
,Total area actually reporting,100.0%,766,17,35,32,682,"4,627","1,115","3,305",207
,"Rate per 100,000 inhabitants",,357.9,7.9,16.4,15.0,318.7,"2,161.9",521.0,"1,544.2",96.7
"Provo-Orem, UT M.S.A.",,"536,977",,,,,,,,,
,Includes Juab and Utah Counties,, ,,,,, ,,,
,City of Provo ,"114,659",149,4,27,26,92,"2,888",386,"2,400",102
,City of Orem,"90,033",45,0,20,10,15,"2,322",166,"2,069",87
,Total area actually reporting,100.0%,398,5,102,58,233,"11,834","1,635","9,754",445
,"Rate per 100,000 inhabitants",,74.1,0.9,19.0,10.8,43.4,"2,203.8",304.5,"1,816.5",82.9
"Pueblo, CO M.S.A.1",,"161,834", ,,,,, ,,,
,Includes Pueblo County,,,,,,,,,,
,City of Pueblo1 ,"108,452",831,12,40,173,606,"5,494","1,590","3,434",470
,Total area actually reporting,100.0%,861,13,41,179,628,"7,136","1,923","4,683",530
,"Rate per 100,000 inhabitants",,532.0,8.0,25.3,110.6,388.1,"4,409.5","1,188.3","2,893.7",327.5
"Punta Gorda, FL M.S.A.",,"162,158", ,,,,, ,,,
,Includes Charlotte County,,,,,,,,,,
,City of Punta Gorda ,"16,868",15,0,0,3,12,326,55,258,13
,Total area actually reporting,100.0%,396,2,31,53,310,"4,037","1,144","2,780",113
,"Rate per 100,000 inhabitants",,244.2,1.2,19.1,32.7,191.2,"2,489.5",705.5,"1,714.4",69.7
"Racine, WI M.S.A.",,"196,259", ,,,,, ,,,
,Includes Racine County,,,,,,,,,,
,City of Racine,"79,204",324,5,14,186,119,"3,605","1,239","2,227",139
,Total area actually reporting,100.0%,455,7,27,225,196,"5,652","1,558","3,890",204
,"Rate per 100,000 inhabitants",,231.8,3.6,13.8,114.6,99.9,"2,879.9",793.8,"1,982.1",103.9
"Raleigh-Cary, NC M.S.A.",,"1,144,826",,,,,,,,,
,"Includes Franklin, Johnston, and Wake Counties",, ,,,,,,,,
,City of Raleigh ,"409,014","1,724",17,127,680,900,"13,242","2,985","9,343",914
,City of Cary,"136,949",108,1,13,41,53,"2,093",370,"1,658",65
,Total area actually reporting,99.6%,"2,773",30,222,923,"1,598","29,533","7,534","20,316","1,683"
,Estimated total,100.0%,"2,785",30,223,926,"1,606","29,712","7,574","20,449","1,689"
,"Rate per 100,000 inhabitants",,243.3,2.6,19.5,80.9,140.3,"2,595.3",661.6,"1,786.2",147.5
"Rapid City, SD M.S.A.",,"127,919", ,,,,, ,,,
,Includes Meade and Pennington Counties,,,,,,,,,,
,City of Rapid City ,"68,782",437,3,99,57,278,"2,960",560,"2,244",156
,Total area actually reporting,100.0%,519,4,127,58,330,"3,713",714,"2,806",193
,"Rate per 100,000 inhabitants",,405.7,3.1,99.3,45.3,258.0,"2,902.6",558.2,"2,193.6",150.9
"Reading, PA M.S.A.",,"412,754", ,,,,, ,,,
,Includes Berks County,,,,,,,,,,
,City of Reading ,"88,363",758,13,22,377,346,"3,301","1,380","1,501",420
,Total area actually reporting,97.2%,"1,249",19,59,445,726,"8,762","2,266","5,857",639
,Estimated total,100.0%,"1,272",19,61,451,741,"8,987","2,303","6,037",647
,"Rate per 100,000 inhabitants",,308.2,4.6,14.8,109.3,179.5,"2,177.3",558.0,"1,462.6",156.8
"Redding, CA M.S.A.",,"179,306", ,,,,, ,,,
,Includes Shasta County,,,,,,,,,,
,City of Redding ,"90,917",701,3,63,100,535,"3,396",823,"2,237",336
,Total area actually reporting,100.0%,"1,302",6,98,132,"1,066","4,954","1,416","2,996",542
,"Rate per 100,000 inhabitants",,726.1,3.3,54.7,73.6,594.5,"2,762.9",789.7,"1,670.9",302.3
"Reno-Sparks, NV M.S.A.",,"429,004",,,,,,,,,
,Includes Storey and Washoe Counties,, ,,,,,,,,
,City of Reno,"227,120","1,108",14,27,383,684,"6,550","1,618","4,311",621
,City of Sparks,"91,025",285,7,46,75,157,"2,447",656,"1,600",191
,Total area actually reporting,100.0%,"1,680",24,88,478,"1,090","10,452","2,718","6,842",892
,"Rate per 100,000 inhabitants",,391.6,5.6,20.5,111.4,254.1,"2,436.3",633.6,"1,594.9",207.9
"Richmond, VA M.S.A.",,"1,273,282",,,,,,,,,
,"Includes Amelia, Caroline, Charles City, Chesterfield, Cumberland, Dinwiddie, Goochland, Hanover, Henrico, King and Queen, King William, Louisa, New Kent, Powhatan, Prince George, and Sussex Counties and Colonial Heights, Hopewell, Petersburg, and Richmond Cities",,,,,,,,,,
,City of Richmond ,"206,654","1,428",36,44,676,672,"8,647","1,886","5,833",928
,Total area actually reporting,100.0%,"2,990",71,189,"1,208","1,522","31,776","6,433","23,295","2,048"
,"Rate per 100,000 inhabitants",,234.8,5.6,14.8,94.9,119.5,"2,495.6",505.2,"1,829.5",160.8
"Riverside-San Bernardino-Ontario, CA M.S.A.",,"4,274,518",,,,,,,,,
,Includes Riverside and San Bernardino Counties,,,,,,,,,,
,City of Riverside ,"307,443","1,310",13,57,458,782,"9,631","2,080","6,278","1,273"
,City of San Bernardino,"212,392","1,861",30,77,720,"1,034","8,461","2,359","4,446","1,656"
,City of Ontario,"165,851",493,6,27,209,251,"4,858",939,"3,057",862
,City of Victorville,"117,266",686,6,37,261,382,"3,931","1,359","2,086",486
,City of Temecula,"101,274",95,0,7,54,34,"2,406",547,"1,700",159
,City of Chino,"78,900",247,2,9,58,178,"2,072",530,"1,341",201
,City of Hemet,"79,582",361,5,15,124,217,"3,472","1,173","1,911",388
,City of Redlands,"69,555",197,3,18,90,86,"2,621",531,"1,766",324
,City of Colton,"52,767",189,4,8,90,87,"1,558",446,844,268
,City of Palm Desert,"49,015",76,2,2,40,32,"2,147",593,"1,439",115
,Total area actually reporting,100.0%,"15,172",185,757,"4,931","9,299","120,476","34,714","68,600","17,162"
,"Rate per 100,000 inhabitants",,354.9,4.3,17.7,115.4,217.5,"2,818.5",812.1,"1,604.9",401.5
"Roanoke, VA M.S.A.",,"312,395", ,,,,, ,,,
,"Includes Botetourt, Craig, Franklin, and Roanoke Counties and Roanoke and Salem Cities",,,,,,,,,,
,City of Roanoke,"98,191",589,8,33,175,373,"4,635",928,"3,424",283
,Total area actually reporting,100.0%,850,10,73,215,552,"7,975","1,524","6,035",416
,"Rate per 100,000 inhabitants",,272.1,3.2,23.4,68.8,176.7,"2,552.9",487.8,"1,931.8",133.2
"Rochester, MN M.S.A.2",,"187,446", ,,,,, ,,,
,"Includes Dodge, Olmsted, and Wabasha Counties2",,,,,,,,,,
,City of Rochester2 ,"107,593",,1,,65,102,"2,323",425,"1,809",89
,Total area actually reporting,98.2%,,1,,67,156,"3,293",651,"2,498",144
,Estimated total,100.0%,,1,,68,159,"3,382",663,"2,571",148
,"Rate per 100,000 inhabitants",,,0.5,,36.3,84.8,"1,804.3",353.7,"1,371.6",79.0
"Rochester, NY M.S.A.",,"1,059,061",,,,,, ,,,
,"Includes Livingston, Monroe, Ontario, Orleans, and Wayne Counties",,,,,,,,,,
,City of Rochester ,"211,511","2,029",31,95,755,"1,148","10,934","3,384","6,849",701
,Total area actually reporting,100.0%,"3,064",43,220,"1,036","1,765","27,384","6,232","19,901","1,251"
,"Rate per 100,000 inhabitants",,289.3,4.1,20.8,97.8,166.7,"2,585.7",588.4,"1,879.1",118.1
"Rockford, IL M.S.A.",,"350,483", ,,,,, ,,,
,Includes Boone and Winnebago Counties,,,,,,,,,,
,City of Rockford,"153,331","2,106",21,112,566,"1,407","7,122","1,890","4,746",486
,Total area actually reporting,80.5%,"2,341",25,155,599,"1,562","9,593","2,501","6,515",577
,Estimated total,100.0%,"2,476",27,171,630,"1,648","10,868","2,793","7,439",636
,"Rate per 100,000 inhabitants",,706.5,7.7,48.8,179.8,470.2,"3,100.9",796.9,"2,122.5",181.5
"Rocky Mount, NC M.S.A.",,"154,324", ,,,,, ,,,
,Includes Edgecombe and Nash Counties,,,,,,,,,,
,City of Rocky Mount ,"58,206",569,12,13,151,393,"3,916","1,146","2,625",145
,Total area actually reporting,99.0%,766,18,21,198,529,"5,961","1,966","3,747",248
,Estimated total,100.0%,770,18,21,199,532,"6,022","1,980","3,792",250
,"Rate per 100,000 inhabitants",,499.0,11.7,13.6,128.9,344.7,"3,902.2","1,283.0","2,457.2",162.0
"Rome, GA M.S.A.",,"97,585", ,,,,, ,,,
,Includes Floyd County,,,,,,,,,,
,City of Rome,"36,781",227,4,18,62,143,"2,202",472,"1,655",75
,Total area actually reporting,100.0%,486,5,28,77,376,"3,724",869,"2,683",172
,"Rate per 100,000 inhabitants",,498.0,5.1,28.7,78.9,385.3,"3,816.2",890.5,"2,749.4",176.3
"Sacramento--Arden-Arcade--Roseville, CA M.S.A.",,"2,174,392",,,,,,,,,
,"Includes El Dorado, Placer, Sacramento, and Yolo Counties",,,,,,,,,,
,City of Sacramento,"471,972","3,354",36,134,"1,162","2,022","18,563","4,141","11,087","3,335"
,City of Roseville,"120,184",248,1,24,43,180,"3,541",534,"2,786",221
,City of Folsom,"73,052",84,1,15,33,35,"1,510",316,"1,116",78
,City of Woodland,"56,120",178,1,28,42,107,"1,188",338,721,129
,Total area actually reporting,100.0%,"9,136",95,542,"2,848","5,651","61,437","14,730","37,938","8,769"
,"Rate per 100,000 inhabitants",,420.2,4.4,24.9,131.0,259.9,"2,825.5",677.4,"1,744.8",403.3
"Saginaw-Saginaw Township North, MI M.S.A.",,"200,018",,,,,,,,,
,Includes Saginaw County,, ,,,,,,,,
,City of Saginaw,"51,469","1,168",8,37,170,953,"1,886","1,125",657,104
,Total area actually reporting,97.9%,"1,560",14,85,221,"1,240","4,874","1,969","2,677",228
,Estimated total,100.0%,"1,572",14,86,224,"1,248","4,982","1,993","2,753",236
,"Rate per 100,000 inhabitants",,785.9,7.0,43.0,112.0,623.9,"2,490.8",996.4,"1,376.4",118.0
"Salem, OR M.S.A.",,"394,898", ,,,,, ,,,
,Includes Marion and Polk Counties,,,,,,,,,,
,City of Salem ,"156,283",519,3,32,119,365,"5,960",891,"4,641",428
,Total area actually reporting,100.0%,885,12,87,171,615,"11,001","1,967","8,270",764
,"Rate per 100,000 inhabitants",,224.1,3.0,22.0,43.3,155.7,"2,785.8",498.1,"2,094.2",193.5
"Salinas, CA M.S.A.",,"419,936", ,,,,, ,,,
,Includes Monterey County,,,,,,,,,,
,City of Salinas,"152,210","1,115",15,34,374,692,"4,492","1,140","2,189","1,163"
,Total area actually reporting,100.0%,"1,951",34,94,572,"1,251","9,893","2,650","5,573","1,670"
,"Rate per 100,000 inhabitants",,464.6,8.1,22.4,136.2,297.9,"2,355.8",631.0,"1,327.1",397.7
"Salisbury, MD M.S.A.",,"126,390", ,,,,, ,,,
,Includes Somerset and Wicomico Counties,,,,,,,,,,
,City of Salisbury,"30,631",369,1,23,74,271,"1,832",402,"1,369",61
,Total area actually reporting,100.0%,664,6,27,125,506,"3,966","1,056","2,786",124
,"Rate per 100,000 inhabitants",,525.4,4.7,21.4,98.9,400.3,"3,137.9",835.5,"2,204.3",98.1
"Salt Lake City, UT M.S.A.",,"1,145,892", ,,,,, ,,,
,"Includes Salt Lake, Summit, and Tooele Counties",,,,,,,,,,
,City of Salt Lake City,"190,038","1,213",6,119,340,748,"12,798","1,658","9,654","1,486"
,Total area actually reporting,99.9%,"3,481",24,457,819,"2,181","47,274","6,879","35,808","4,587"
,Estimated total,100.0%,"3,481",24,457,819,"2,181","47,286","6,881","35,817","4,588"
,"Rate per 100,000 inhabitants",,303.8,2.1,39.9,71.5,190.3,"4,126.6",600.5,"3,125.7",400.4
"San Angelo, TX M.S.A.",,"114,176", ,,,,, ,,,
,Includes Irion and Tom Green Counties,,,,,,,,,,
,City of San Angelo ,"95,161",250,0,32,42,176,"3,624",801,"2,685",138
,Total area actually reporting,100.0%,287,0,48,45,194,"3,958",886,"2,923",149
,"Rate per 100,000 inhabitants",,251.4,0.0,42.0,39.4,169.9,"3,466.6",776.0,"2,560.1",130.5
"San Antonio-New Braunfels, TX M.S.A.",,"2,187,591", ,,,,, ,,,
,"Includes Atascosa, Bandera, Bexar, Comal, Guadalupe, Kendall, Medina, and Wilson Counties",,,,,,,,,,
,City of San Antonio,"1,355,339","7,038",89,492,"1,785","4,672","80,868","15,334","59,641","5,893"
,City of New Braunfels,"58,955",119,2,7,26,84,"1,943",298,"1,565",80
,Total area actually reporting,99.9%,"8,706",111,676,"2,049","5,870","102,071","20,160","74,909","7,002"
,Estimated total,100.0%,"8,709",111,676,"2,050","5,872","102,108","20,168","74,936","7,004"
,"Rate per 100,000 inhabitants",,398.1,5.1,30.9,93.7,268.4,"4,667.6",921.9,"3,425.5",320.2
"San Diego-Carlsbad-San Marcos, CA M.S.A.",,"3,131,701",,,,,,,,,
,Includes San Diego County,,,,,,,,,,
,City of San Diego,"1,316,919","5,104",38,293,"1,456","3,317","29,709","5,840","17,610","6,259"
,City of Carlsbad,"106,566",210,4,11,35,160,"1,970",468,"1,375",127
,City of San Marcos,"84,766",233,0,19,60,154,"1,424",358,908,158
,City of National City,"59,271",372,1,12,137,222,"1,814",300,"1,046",468
,Total area actually reporting,100.0%,"11,009",82,660,"3,050","7,217","65,102","13,326","40,420","11,356"
,"Rate per 100,000 inhabitants",,351.5,2.6,21.1,97.4,230.4,"2,078.8",425.5,"1,290.7",362.6
"Sandusky, OH M.S.A.",,"77,135", ,,,,, ,,,
,Includes Erie County,,,,,,,,,,
,City of Sandusky,"25,812",120,1,7,40,72,"1,366",327,"1,020",19
,Total area actually reporting,98.7%,222,1,12,52,157,"2,300",590,"1,663",47
,Estimated total,100.0%,224,1,12,53,158,"2,329",596,"1,685",48
,"Rate per 100,000 inhabitants",,290.4,1.3,15.6,68.7,204.8,"3,019.4",772.7,"2,184.5",62.2
"San Francisco-Oakland-Fremont, CA M.S.A.",,"4,386,357",,,,,,,,,
,Includes the Metropolitan Divisions of Oakland-Fremont-Hayward and San Francisco-San Mateo-Redwood City,,,,,,,,,,
,City of San Francisco,"814,701","5,374",50,131,"3,088","2,105","32,886","4,408","24,304","4,174"
,City of Oakland,"395,317","6,652",104,202,"3,365","2,981","20,904","5,170","9,429","6,305"
,City of Fremont,"216,606",384,2,35,156,191,"3,952","1,206","2,303",443
,City of Hayward,"145,881",579,7,44,360,168,"3,782",988,"1,693","1,101"
,City of Berkeley,"113,903",482,1,19,340,122,"5,064",976,"3,460",628
,City of San Mateo,"98,350",246,1,20,69,156,"1,732",306,"1,288",138
,City of San Leandro,"85,949",367,7,19,217,124,"3,205",671,"1,957",577
,City of Redwood City,"77,718",177,0,26,63,88,"1,487",436,918,133
,City of Pleasanton,"71,111",59,0,4,24,31,"1,215",182,949,84
,City of Walnut Creek,"64,927",69,1,2,14,52,"2,024",422,"1,472",130
,City of South San Francisco,"64,380",138,1,13,47,77,"1,327",412,764,151
,City of San Rafael,"58,391",200,2,20,65,113,"1,473",309,"1,011",153
,Total area actually reporting,100.0%,"22,294",264,891,"10,369","10,770","135,104","28,864","83,296","22,944"
,"Rate per 100,000 inhabitants",,508.3,6.0,20.3,236.4,245.5,"3,080.1",658.0,"1,899.0",523.1
"Oakland-Fremont-Hayward, CA M.D.",,"2,589,383",,,,,,,,,
,Includes Alameda and Contra Costa Counties,,,,,,,,,,
,Total area actually reporting,100.0%,"14,712",196,574,"6,604","7,338","82,633","20,020","45,716","16,897"
,"Rate per 100,000 inhabitants",,568.2,7.6,22.2,255.0,283.4,"3,191.2",773.2,"1,765.5",652.5
"San Francisco-San Mateo-Redwood City, CA M.D.",,"1,796,974",,,,,,,,,
,"Includes Marin, San Francisco, and San Mateo Counties",,,,,,,,,,
,Total area actually reporting,100.0%,"7,582",68,317,"3,765","3,432","52,471","8,844","37,580","6,047"
,"Rate per 100,000 inhabitants",,421.9,3.8,17.6,209.5,191.0,"2,920.0",492.2,"2,091.3",336.5
"San Jose-Sunnyvale-Santa Clara, CA M.S.A.",,"1,858,506",,,,,,,,,
,Includes San Benito and Santa Clara Counties,,,,,,,,,,
,City of San Jose,"957,062","3,206",39,226,"1,101","1,840","21,972","4,223","12,628","5,121"
,City of Sunnyvale,"141,728",150,3,21,68,58,"1,970",393,"1,351",226
,City of Santa Clara,"117,837",177,2,14,67,94,"2,933",409,"2,202",322
,City of Mountain View,"74,937",153,0,7,41,105,"1,353",167,"1,086",100
,City of Milpitas,"67,575",102,2,10,59,31,"1,824",299,"1,315",210
,City of Palo Alto,"65,160",64,0,3,24,37,"1,248",286,923,39
,City of Cupertino,"58,987",46,1,4,18,23,711,139,555,17
,Total area actually reporting,100.0%,"4,760",61,368,"1,614","2,717","39,884","7,574","25,429","6,881"
,"Rate per 100,000 inhabitants",,256.1,3.3,19.8,86.8,146.2,"2,146.0",407.5,"1,368.2",370.2
"San Luis Obispo-Paso Robles, CA M.S.A.",,"272,807",,,,,,,,,
,Includes San Luis Obispo County,, ,,,,,,,,
,City of San Luis Obispo,"45,649",134,2,24,34,74,"1,782",330,"1,345",107
,City of Paso Robles,"30,143",95,2,11,12,70,832,148,632,52
,Total area actually reporting,100.0%,680,5,91,81,503,"6,196","1,411","4,360",425
,"Rate per 100,000 inhabitants",,249.3,1.8,33.4,29.7,184.4,"2,271.2",517.2,"1,598.2",155.8
"Santa Barbara-Santa Maria-Goleta, CA M.S.A.",,"428,878",,,,,,,,,
,Includes Santa Barbara County,,,,,,,,,,
,City of Santa Barbara,"89,449",319,0,37,80,202,"2,756",541,"2,124",91
,City of Santa Maria,"100,723",716,7,18,153,538,"2,429",655,"1,510",264
,City of Goleta,"30,239",40,0,4,8,28,383,98,268,17
,Total area actually reporting,100.0%,"1,657",10,130,298,"1,219","9,083","2,167","6,367",549
,"Rate per 100,000 inhabitants",,386.4,2.3,30.3,69.5,284.2,"2,117.9",505.3,"1,484.6",128.0
"Santa Cruz-Watsonville, CA M.S.A.",,"265,467",,,,,,,,,
,Includes Santa Cruz County,, ,,,,,,,,
,City of Santa Cruz,"60,651",480,1,23,113,343,"3,356",568,"2,603",185
,City of Watsonville,"51,801",281,5,14,92,170,"1,605",328,967,310
,Total area actually reporting,100.0%,"1,169",10,75,252,832,"8,744","1,958","5,964",822
,"Rate per 100,000 inhabitants",,440.4,3.8,28.3,94.9,313.4,"3,293.8",737.6,"2,246.6",309.6
"Santa Fe, NM M.S.A.",,"145,783", ,,,,, ,,,
,Includes Santa Fe County,,,,,,,,,,
,City of Santa Fe ,"68,707",305,2,19,77,207,"3,749","1,943","1,639",167
,Total area actually reporting,100.0%,552,4,30,103,415,"5,378","2,867","2,252",259
,"Rate per 100,000 inhabitants",,378.6,2.7,20.6,70.7,284.7,"3,689.0","1,966.6","1,544.8",177.7
"Santa Rosa-Petaluma, CA M.S.A.",,"489,566",,,,,,,,,
,Includes Sonoma County,, ,,,,,,,,
,City of Santa Rosa,"169,788",682,5,58,134,485,"3,706",637,"2,794",275
,City of Petaluma,"58,622",140,0,11,23,106,884,131,693,60
,Total area actually reporting,100.0%,"1,702",11,138,234,"1,319","8,307","1,664","6,041",602
,"Rate per 100,000 inhabitants",,347.7,2.2,28.2,47.8,269.4,"1,696.8",339.9,"1,234.0",123.0
"Savannah, GA M.S.A.",,"352,188", ,,,,, ,,,
,"Includes Bryan, Chatham, and Effingham Counties",,,,,,,,,,
,City of Savannah-Chatham Metropolitan,"226,422",889,26,36,488,339,"9,579","2,241","6,608",730
,Total area actually reporting,100.0%,"1,202",30,68,548,556,"12,773","3,053","8,838",882
,"Rate per 100,000 inhabitants",,341.3,8.5,19.3,155.6,157.9,"3,626.8",866.9,"2,509.5",250.4
"Scranton--Wilkes-Barre, PA M.S.A.",,"565,428",,,,,,,,,
,"Includes Lackawanna, Luzerne, and Wyoming Counties",, ,,,,,,,,
,City of Scranton,"76,332",226,3,34,95,94,"2,556",620,"1,810",126
,City of Wilkes-Barre,"41,630",213,2,12,129,70,"1,483",317,"1,080",86
,Total area actually reporting,97.5%,"1,494",15,104,392,983,"12,364","2,524","9,190",650
,Estimated total,100.0%,"1,523",15,106,400,"1,002","12,639","2,569","9,410",660
,"Rate per 100,000 inhabitants",,269.4,2.7,18.7,70.7,177.2,"2,235.3",454.3,"1,664.2",116.7
"Seattle-Tacoma-Bellevue, WA M.S.A.",,"3,493,774",,,,,,,,,
,Includes the Metropolitan Divisions of Seattle-Bellevue-Everett and Tacoma,,,,,,,,,,
,City of Seattle,"618,209","3,664",20,100,"1,418","2,126","31,792","6,807","21,585","3,400"
,City of Tacoma,"201,510","1,507",11,125,446,925,"12,062","2,709","7,228","2,125"
,City of Bellevue,"124,283",140,1,23,58,58,"3,539",607,"2,775",157
,City of Everett,"104,635",450,5,49,143,253,"7,503","1,163","5,415",925
,City of Kent,"93,861",577,1,60,210,306,"4,989","1,223","2,977",789
,City of Renton,"92,354",292,1,33,115,143,"4,223",917,"2,748",558
,City of Auburn,"71,281",279,2,23,107,147,"3,797",762,"2,435",600
,Total area actually reporting,100.0%,"11,536",73,"1,044","3,808","6,611","132,146","29,558","86,948","15,640"
,"Rate per 100,000 inhabitants",,330.2,2.1,29.9,109.0,189.2,"3,782.3",846.0,"2,488.7",447.7
"Seattle-Bellevue-Everett, WA M.D.",,"2,686,073",,,,,,,,,
,Includes King and Snohomish Counties,,,,,,,,,,
,Total area actually reporting,100.0%,"8,160",47,749,"2,888","4,476","100,812","21,770","67,561","11,481"
,"Rate per 100,000 inhabitants",,303.8,1.7,27.9,107.5,166.6,"3,753.1",810.5,"2,515.2",427.4
"Tacoma, WA M.D.",,"807,701",,,,,,,,,
,Includes Pierce County,,,,,,,,,,
,Total area actually reporting,100.0%,"3,376",26,295,920,"2,135","31,334","7,788","19,387","4,159"
,"Rate per 100,000 inhabitants",,418.0,3.2,36.5,113.9,264.3,"3,879.4",964.2,"2,400.3",514.9
"Sebastian-Vero Beach, FL M.S.A.",,"139,909", ,,,,, ,,,
,Includes Indian River County,,,,,,,,,,
,City of Sebastian,"22,228",41,0,3,5,33,442,128,303,11
,City of Vero Beach,"15,427",46,2,4,13,27,701,175,513,13
,Total area actually reporting,100.0%,450,5,32,82,331,"3,959","1,107","2,742",110
,"Rate per 100,000 inhabitants",,321.6,3.6,22.9,58.6,236.6,"2,829.7",791.2,"1,959.8",78.6
"Sheboygan, WI M.S.A.",,"116,010", ,,,,, ,,,
,Includes Sheboygan County,,,,,,,,,,
,City of Sheboygan,"49,503",131,0,16,26,89,"1,446",231,"1,165",50
,Total area actually reporting,100.0%,158,1,17,30,110,"2,393",364,"1,947",82
,"Rate per 100,000 inhabitants",,136.2,0.9,14.7,25.9,94.8,"2,062.8",313.8,"1,678.3",70.7
"Sherman-Denison, TX M.S.A.",,"123,421",,,,,,,,,
,Includes Grayson County,, ,,,,,,,,
,City of Sherman,"39,332",158,1,1,41,115,"1,549",325,"1,174",50
,City of Denison,"23,159",91,2,9,14,66,"1,145",288,807,50
,Total area actually reporting,100.0%,336,5,19,60,252,"3,905","1,003","2,750",152
,"Rate per 100,000 inhabitants",,272.2,4.1,15.4,48.6,204.2,"3,164.0",812.7,"2,228.1",123.2
"Sioux City, IA-NE-SD M.S.A.",,"144,528", ,,,,, ,,,
,"Includes Woodbury County, IA; Dakota and Dixon Counties, NE; and Union County, SD",,,,,,,,,,
,"City of Sioux City, IA","83,111",339,1,36,34,268,"3,507",709,"2,635",163
,Total area actually reporting,96.4%,415,2,45,36,332,"4,333",878,"3,248",207
,Estimated total,100.0%,419,2,46,36,335,"4,410",889,"3,311",210
,"Rate per 100,000 inhabitants",,289.9,1.4,31.8,24.9,231.8,"3,051.3",615.1,"2,290.9",145.3
"Sioux Falls, SD M.S.A.",,"231,036", ,,,,, ,,,
,"Includes Lincoln, McCook, Minnehaha, and Turner Counties",,,,,,,,,,
,City of Sioux Falls,"155,760",440,5,108,75,252,"4,707",880,"3,554",273
,Total area actually reporting,99.8%,497,5,127,77,288,"5,508","1,094","4,103",311
,Estimated total,100.0%,497,5,127,77,288,"5,513","1,095","4,107",311
,"Rate per 100,000 inhabitants",,215.1,2.2,55.0,33.3,124.7,"2,386.2",474.0,"1,777.6",134.6
"South Bend-Mishawaka, IN-MI M.S.A.",,"320,549",,,,,,,,,
,"Includes St. Joseph County, IN and Cass County, MI",, ,,,,,,,,
,"City of South Bend, IN","101,685",744,9,60,406,269,"6,096","2,335","3,437",324
,"City of Mishawaka, IN","48,498",146,3,12,68,63,"2,895",517,"2,234",144
,Total area actually reporting,95.9%,"1,087",16,105,501,465,"11,521","3,582","7,367",572
,Estimated total,100.0%,"1,123",16,109,509,489,"11,866","3,657","7,611",598
,"Rate per 100,000 inhabitants",,350.3,5.0,34.0,158.8,152.6,"3,701.8","1,140.9","2,374.4",186.6
"Spartanburg, SC M.S.A.",,"287,618", ,,,,, ,,,
,Includes Spartanburg County,,,,,,,,,,
,City of Spartanburg,"37,444",657,5,12,127,513,"2,856",684,"1,952",220
,Total area actually reporting,99.8%,"1,399",12,83,254,"1,050","10,179","2,746","6,634",799
,Estimated total,100.0%,"1,401",12,83,254,"1,052","10,201","2,750","6,651",800
,"Rate per 100,000 inhabitants",,487.1,4.2,28.9,88.3,365.8,"3,546.7",956.1,"2,312.4",278.1
"Spokane, WA M.S.A.",,"478,614", ,,,,, ,,,
,Includes Spokane County,,,,,,,,,,
,City of Spokane,"212,194","1,304",4,84,484,732,"15,039","3,030","10,231","1,778"
,Total area actually reporting,100.0%,"1,644",7,128,582,927,"24,591","5,254","16,771","2,566"
,"Rate per 100,000 inhabitants",,343.5,1.5,26.7,121.6,193.7,"5,138.0","1,097.8","3,504.1",536.1
"Springfield, IL M.S.A.",,"210,802", ,,,,, ,,,
,Includes Menard and Sangamon Counties,,,,,,,,,,
,City of Springfield,"116,600","1,278",8,103,258,909,"7,176","1,883","5,076",217
,Total area actually reporting,86.6%,"1,435",8,133,278,"1,016","8,422","2,237","5,921",264
,Estimated total,100.0%,"1,500",9,140,296,"1,055","9,045","2,357","6,396",292
,"Rate per 100,000 inhabitants",,711.6,4.3,66.4,140.4,500.5,"4,290.8","1,118.1","3,034.1",138.5
"Springfield, MA M.S.A.",,"697,165", ,,,,, ,,,
,"Includes Franklin, Hampden, and Hampshire Counties",,,,,,,,,,
,City of Springfield,"153,993","1,581",20,31,532,998,"7,365","2,499","4,072",794
,Total area actually reporting,96.8%,"3,408",25,211,780,"2,392","19,772","5,623","12,691","1,458"
,Estimated total,100.0%,"3,477",25,216,793,"2,443","20,210","5,731","12,993","1,486"
,"Rate per 100,000 inhabitants",,498.7,3.6,31.0,113.7,350.4,"2,898.9",822.0,"1,863.7",213.1
