Table 6,,,,,,,,,,,,,,
Crime in the United States,, ,,,,,,,,,,,,
"by Metropolitan Statistical Area, 2006",,,,,,,,,,,,,,
Metropolitan Statistical Area,Counties/principal cities,Population,Violent crime,Murder and nonnegligent manslaughter,Forcible rape,Robbery,Aggravated assault,Property crime,Burglary,Larceny-theft,Motor vehicle theft,,,
,Includes Pueblo County,,,,,,,,,,,,,
,City of Pueblo ,"105,452",628,6,49,170,403,"6,317","1,453","4,409",455,,,
,Total area actually reporting,100.0%,674,6,50,178,440,"7,888","1,791","5,580",517,,,
,"Rate per 100,000 inhabitants",,437.1,3.9,32.4,115.4,285.4,"5,116.0","1,161.6","3,619.1",335.3,,,
"Punta Gorda, FL M.S.A.",,"160,193",,,,,,,,,,,,
,Includes Charlotte County,,,,,,,,,,,,,
,City of Punta Gorda ,"17,400",46,0,2,5,39,444,158,264,22,,,
,Total area actually reporting,100.0%,739,2,15,95,627,"5,454","1,343","3,754",357,,,
,"Rate per 100,000 inhabitants",,461.3,1.2,9.4,59.3,391.4,"3,404.6",838.4,"2,343.4",222.9,,,
"Racine, WI M.S.A.",,"196,426",,,,,,,,,,,,
,Includes Racine County,,,,,,,,,,,,,
,City of Racine,"79,683",475,7,16,245,207,"4,594","1,113","3,116",365,,,
,Total area actually reporting,100.0%,533,8,21,265,239,"6,809","1,399","4,945",465,,,
,"Rate per 100,000 inhabitants",,271.3,4.1,10.7,134.9,121.7,"3,466.4",712.2,"2,517.5",236.7,,,
"Raleigh-Cary, NC M.S.A.",,"968,631", ,,,,,,,,,,,
,"Includes Franklin, Johnston, and Wake Counties",,,,,,,,,,,,,
,City of Raleigh ,"348,345","2,223",19,97,782,"1,325","12,650","2,978","8,666","1,006",,,
,City of Cary,"108,563",131,0,14,42,75,"2,189",554,"1,520",115,,,
,Total area actually reporting,99.7%,"3,471",37,202,"1,075","2,157","28,281","7,490","18,752","2,039",,,
,Estimated total,100.0%,"3,485",37,203,"1,079","2,166","28,434","7,527","18,860","2,047",,,
,"Rate per 100,000 inhabitants",,359.8,3.8,21.0,111.4,223.6,"2,935.5",777.1,"1,947.1",211.3,,,
"Rapid City, SD M.S.A.",,"119,115",,,,,,,,,,,,
,Includes Meade and Pennington Counties,,,,,,,,,,,,,
,City of Rapid City ,"62,647",232,0,56,38,138,"2,190",407,"1,679",104,,,
,Total area actually reporting,100.0%,321,0,96,38,187,"2,905",590,"2,168",147,,,
,"Rate per 100,000 inhabitants",,269.5,0.0,80.6,31.9,157.0,"2,438.8",495.3,"1,820.1",123.4,,,
"Reading, PA M.S.A.",,"396,665",,,,,,,,,,,,
,Includes Berks County,,,,,,,,,,,,,
,City of Reading ,"80,927","1,001",10,44,465,482,"4,637","1,128","2,288","1,221",,,
,Total area actually reporting,95.3%,"1,459",12,80,557,810,"9,944","1,922","6,257","1,765",,,
,Estimated total,100.0%,"1,504",12,83,570,839,"10,341","1,981","6,569","1,791",,,
,"Rate per 100,000 inhabitants",,379.2,3.0,20.9,143.7,211.5,"2,607.0",499.4,"1,656.1",451.5,,,
"Redding, CA M.S.A.",,"181,524",,,,,,,,,,,,
,Includes Shasta County,,,,,,,,,,,,,
,City of Redding ,"90,448",388,2,72,66,248,"3,389",719,"2,174",496,,,
,Total area actually reporting,100.0%,648,8,94,85,461,"4,986","1,202","2,964",820,,,
,"Rate per 100,000 inhabitants",,357.0,4.4,51.8,46.8,254.0,"2,746.7",662.2,"1,632.8",451.7,,,
"Reno-Sparks, NV M.S.A.",,"407,115", ,,,,,,,,,,,
,Includes Storey and Washoe Counties,,,,,,,,,,,,,
,City of Reno,"210,354","1,478",23,100,523,832,"10,797","2,105","7,061","1,631",,,
,City of Sparks,"84,794",380,3,40,124,213,"3,452",893,"2,104",455,,,
,Total area actually reporting,100.0%,"2,075",30,141,671,"1,233","16,337","3,621","10,395","2,321",,,
,"Rate per 100,000 inhabitants",,509.7,7.4,34.6,164.8,302.9,"4,012.9",889.4,"2,553.3",570.1,,,
"Richmond, VA M.S.A.",,"1,187,370",,,,,,,,,,,,
,"Includes Amelia, Caroline, Charles City, Chesterfield, Cumberland, Dinwiddie, Goochland, Hanover, Henrico, King and Queen, King William, Louisa, New Kent, Powhatan, Prince George, and Sussex Counties and Colonial Heights, Hopewell, Petersburg, and Richmond Cities",,,,,,,,,,,,,
,City of Richmond ,"195,708","2,041",76,76,987,902,"10,092","2,284","6,351","1,457",,,
,Total area actually reporting,99.9%,"4,482",117,279,"1,957","2,129","35,209","6,773","25,265","3,171",,,
,Estimated total,100.0%,"4,489",117,280,"1,959","2,133","35,264","6,781","25,308","3,175",,,
,"Rate per 100,000 inhabitants",,378.1,9.9,23.6,165.0,179.6,"2,969.9",571.1,"2,131.4",267.4,,,
"Riverside-San Bernardino-Ontario, CA M.S.A.",,"3,945,166",,,,,,,,,,,,
,Includes Riverside and San Bernardino Counties,,,,,,,,,,,,,
,City of Riverside ,"292,698","2,014",11,83,814,"1,106","12,267","2,372","7,471","2,424",,,
,City of San Bernardino,"200,338","2,017",46,50,904,"1,017","9,760","2,135","4,708","2,917",,,
,City of Ontario,"174,234","1,011",13,74,418,506,"6,337",967,"3,592","1,778",,,
,City of Victorville,"92,086",560,8,26,219,307,"4,157","1,173","2,218",766,,,
,City of Temecula,"86,572",277,0,13,57,207,"2,820",674,"1,789",357,,,
,City of Chino,"78,277",228,0,8,108,112,"2,390",530,"1,426",434,,,
,City of Redlands,"70,625",379,3,22,114,240,"2,537",501,"1,610",426,,,
,City of Hemet,"68,676",520,6,26,170,318,"3,207",947,"1,835",425,,,
,City of Colton,"51,812",344,5,13,132,194,"1,743",477,847,419,,,
,Total area actually reporting,100.0%,"19,301",271,"1,054","6,601","11,375","135,378","33,166","73,633","28,579",,,
,"Rate per 100,000 inhabitants",,489.2,6.9,26.7,167.3,288.3,"3,431.5",840.7,"1,866.4",724.4,,,
"Roanoke, VA M.S.A.",,"295,903",,,,,,,,,,,,
,"Includes Botetourt, Craig, Franklin, and Roanoke Counties and Roanoke and Salem Cities",,,,,,,,,,,,,
,City of Roanoke,"93,554",953,12,60,220,661,"5,295",978,"3,887",430,,,
,Total area actually reporting,100.0%,"1,243",14,96,263,870,"8,450","1,515","6,319",616,,,
,"Rate per 100,000 inhabitants",,420.1,4.7,32.4,88.9,294.0,"2,855.7",512.0,"2,135.5",208.2,,,
"Rochester, MN M.S.A.4",,"178,166",,,,,,,,,,,,
,"Includes Dodge, Olmsted, and Wabasha Counties",,,,,,,,,,,,,
,City of Rochester4,"95,585",,2,,81,152,"2,525",486,"1,892",147,,,
,Total area actually reporting,91.4%,,2,,85,175,"3,542",757,"2,564",221,,,
,Estimated total,100.0%,,2,,88,187,"3,879",820,"2,814",245,,,
,"Rate per 100,000 inhabitants",,,1.1,,49.4,105.0,"2,177.2",460.2,"1,579.4",137.5,,,
"Rochester, NY M.S.A.",,"1,041,811",,,,,,,,,,,,
,"Includes Livingston, Monroe, Ontario, Orleans, and Wayne Counties",,,,,,,,,,,,,
,City of Rochester ,"211,656","2,666",49,92,"1,332","1,193","12,999","2,673","7,913","2,413",,,
,Total area actually reporting,98.4%,"3,732",56,237,"1,614","1,825","30,763","5,534","21,986","3,243",,,
,Estimated total,100.0%,"3,764",56,239,"1,626","1,843","31,094","5,584","22,251","3,259",,,
,"Rate per 100,000 inhabitants",,361.3,5.4,22.9,156.1,176.9,"2,984.6",536.0,"2,135.8",312.8,,,
"Rocky Mount, NC M.S.A.",,"148,410",,,,,,,,,,,,
,Includes Edgecombe and Nash County,,,,,,,,,,,,,
,City of Rocky Mount ,"57,756",577,12,22,225,318,"5,617","1,696","3,535",386,,,
,Total area actually reporting,100.0%,821,18,35,283,485,"7,908","2,492","4,834",582,,,
,"Rate per 100,000 inhabitants",,553.2,12.1,23.6,190.7,326.8,"5,328.5","1,679.1","3,257.2",392.2,,,
"Rome, GA M.S.A.",,"97,223",,,,,,,,,,,,
,Includes Floyd County,,,,,,,,,,,,,
,City of Rome,"36,966",309,1,19,53,236,"2,354",433,"1,798",123,,,
,Total area actually reporting,100.0%,527,4,36,64,423,"4,018",788,"2,908",322,,,
,"Rate per 100,000 inhabitants",,542.1,4.1,37.0,65.8,435.1,"4,132.8",810.5,"2,991.1",331.2,,,
"SacramentoArden-ArcadeRoseville, CA M.S.A.",,"2,060,675",,,,,,,,,,,,
,"Includes El Dorado, Placer, Sacramento, and Yolo Counties",,,,,,,,,,,,,
,City of Sacramento,"460,552","5,556",57,196,"2,188","3,115","26,112","6,175","12,762","7,175",,,
,City of Roseville,"106,894",378,3,24,134,217,"3,884",588,"2,722",574,,,
,City of Folsom,"66,202",97,0,11,36,50,"1,639",286,"1,189",164,,,
,City of Woodland,"51,479",128,0,15,44,69,"1,793",382,"1,164",247,,,
,Total area actually reporting,100.0%,"13,098",112,653,"4,377","7,956","80,995","19,181","43,274","18,540",,,
,"Rate per 100,000 inhabitants",,635.6,5.4,31.7,212.4,386.1,"3,930.5",930.8,"2,100.0",899.7,,,
"Saginaw-Saginaw Township North, MI M.S.A.",,"207,837", ,,,,,,,,,,,
,Includes Saginaw County,,,,,,,,,,,,,
,City of Saginaw,"58,216","1,738",24,79,271,"1,364","2,752","1,369","1,043",340,,,
,Total area actually reporting,100.0%,"2,265",28,158,351,"1,728","7,075","2,348","4,099",628,,,
,"Rate per 100,000 inhabitants",,"1,089.8",13.5,76.0,168.9,831.4,"3,404.1","1,129.7","1,972.2",302.2,,,
"Salem, OR M.S.A.",,"381,718",,,,,,,,,,,,
,Includes Marion and Polk Counties,,,,,,,,,,,,,
,City of Salem ,"151,190",691,9,74,129,479,"8,267","1,073","6,363",831,,,
,Total area actually reporting,100.0%,"1,074",14,128,205,727,"15,210","2,192","11,525","1,493",,,
,"Rate per 100,000 inhabitants",,281.4,3.7,33.5,53.7,190.5,"3,984.6",574.2,"3,019.2",391.1,,,
"Salinas, CA M.S.A.",,"415,815",,,,,,,,,,,,
,Includes Monterey County,,,,,,,,,,,,,
,City of Salinas,"147,750","1,118",7,45,383,683,"6,023",907,"3,718","1,398",,,
,Total area actually reporting,100.0%,"2,014",15,116,599,"1,284","13,118","2,712","8,204","2,202",,,
,"Rate per 100,000 inhabitants",,484.4,3.6,27.9,144.1,308.8,"3,154.8",652.2,"1,973.0",529.6,,,
"Salisbury, MD M.S.A.",,"116,566",,,,,,,,,,,,
,Includes Somerset and Wicomico Counties,,,,,,,,,,,,,
,City of Salisbury,"26,367",569,5,26,213,325,"2,582",638,"1,813",131,,,
,Total area actually reporting,100.0%,"1,058",10,49,284,715,"5,298","1,400","3,603",295,,,
,"Rate per 100,000 inhabitants",,907.6,8.6,42.0,243.6,613.4,"4,545.1","1,201.0","3,091.0",253.1,,,
"Salt Lake City, UT M.S.A.",,"1,068,196",,,,,,,,,,,,
,"Includes Salt Lake, Summit, and Tooele Counties",,,,,,,,,,,,,
,City of Salt Lake City,"183,901","1,494",8,95,507,884,"15,420","2,244","11,136","2,040",,,
,Total area actually reporting,99.8%,"3,686",23,472,943,"2,248","51,739","7,935","37,717","6,087",,,
,Estimated total,100.0%,"3,690",23,473,944,"2,250","51,806","7,946","37,767","6,093",,,
,"Rate per 100,000 inhabitants",,345.4,2.2,44.3,88.4,210.6,"4,849.9",743.9,"3,535.6",570.4,,,
"San Angelo, TX M.S.A.",,"108,353",,,,,,,,,,,,
,Included Irion and Tom Green Counties,,,,,,,,,,,,,
,City of San Angelo ,"90,508",396,3,53,62,278,"4,557",974,"3,359",224,,,
,Total area actually reporting,100.0%,423,3,56,62,302,"4,928","1,075","3,617",236,,,
,"Rate per 100,000 inhabitants",,390.4,2.8,51.7,57.2,278.7,"4,548.1",992.1,"3,338.2",217.8,,,
"San Antonio, TX M.S.A.",,"1,943,351",,,,,,,,,,,,
,"Includes Atascosa, Bandera, Bexar, Comal, Guadalupe, Kendall, Medina, and Wilson Counties",,,,,,,,,,,,,
,City of San Antonio,"1,292,116","7,977",119,514,"2,321","5,023","78,621","14,629","57,377","6,615",,,
,Total area actually reporting,100.0%,"9,659",137,714,"2,559","6,249","99,173","19,367","72,134","7,672",,,
,"Rate per 100,000 inhabitants",,497.0,7.0,36.7,131.7,321.6,"5,103.2",996.6,"3,711.8",394.8,,,
"San Diego-Carlsbad-San Marcos, CA M.S.A.",,"2,959,880",,,,,,,,,,,,
,Includes San Diego County,,,,,,,,,,,,,
,City of San Diego,"1,266,847","6,391",68,348,"2,164","3,811","45,209","7,746","24,125","13,338",,,
,City of Carlsbad,"91,590",329,1,11,77,240,"2,455",587,"1,648",220,,,
,City of San Marcos,"74,149",286,3,19,75,189,"1,735",484,918,333,,,
,City of National City,"61,972",524,2,9,211,302,"2,463",453,"1,125",885,,,
,Total area actually reporting,100.0%,"13,578",126,777,"4,313","8,362","93,354","17,855","51,454","24,045",,,
,"Rate per 100,000 inhabitants",,458.7,4.3,26.3,145.7,282.5,"3,154.0",603.2,"1,738.4",812.4,,,
"Sandusky, OH M.S.A.",,"78,761",,,,,,,,,,,,
,Includes Erie County,,,,,,,,,,,,,
,City of Sandusky,"26,698",231,0,12,46,173,"1,796",359,"1,345",92,,,
,Total area actually reporting,99.5%,266,0,14,54,198,"2,869",588,"2,152",129,,,
,Estimated total,100.0%,266,0,14,54,198,"2,881",590,"2,161",130,,,
,"Rate per 100,000 inhabitants",,337.7,0.0,17.8,68.6,251.4,"3,657.9",749.1,"2,743.7",165.1,,,
"San Francisco-Oakland-Fremont, CA M.S.A.",,"4,190,087",,,,,,,,,,,,
,Includes Metropolitan Divisions of Oakland-Fremont-Hayward and San Francisco-San Mateo-Redwood City,,,,,,,,,,,,,
,City of San Francisco,"746,085","6,533",86,154,"3,858","2,435","36,992","6,465","23,891","6,636",,,
,City of Oakland,"398,834","7,599",145,306,"3,534","3,614","24,344","5,070","8,725","10,549",,,
,City of Fremont,"202,273",569,6,29,256,278,"5,298","1,325","3,113",860,,,
,City of Hayward,"141,556",776,4,33,423,316,"5,736","1,196","2,343","2,197",,,
,City of Berkeley,"101,651",646,4,22,414,206,"7,323","1,152","5,096","1,075",,,
,City of San Mateo,"91,901",325,2,18,83,222,"2,488",274,"1,920",294,,,
,City of San Leandro,"78,882",650,4,28,309,309,"4,196",773,"2,176","1,247",,,
,City of Redwood City,"73,772",300,6,16,80,198,"2,179",307,"1,523",349,,,
,City of Pleasanton,"66,544",68,0,6,25,37,"1,536",214,"1,181",141,,,
,City of Walnut Creek,"64,774",113,0,3,41,69,"2,469",438,"1,773",258,,,
,City of South San Francisco,"61,282",230,0,15,78,137,"1,403",444,695,264,,,
,City of San Rafael,"56,218",237,2,16,81,138,"1,927",327,"1,251",349,,,
,Total area actually reporting,100.0%,"26,646",375,"1,079","12,942","12,250","164,668","30,914","95,040","38,714",,,
,"Rate per 100,000 inhabitants",,635.9,8.9,25.8,308.9,292.4,"3,929.9",737.8,"2,268.2",923.9,,,
"Oakland-Fremont-Hayward, CA M.D.",,"2,488,907",,,,,,,,,,,,
,Includes Alameda and Contra Costa Counties,,, ,,,,,,,,,,
,Total area actually reporting,100.0%,"17,208",265,723,"8,123","8,097","102,843","19,988","54,401","28,454",,,
,"Rate per 100,000 inhabitants",,691.4,10.6,29.0,326.4,325.3,"4,132.1",803.1,"2,185.7","1,143.2",,,
"San Francisco-San Mateo-Redwood City, CA M.D.",,"1,701,180",,,,,,,,,,,,
,"Includes Marin, San Francisco, and San Mateo Counties",,,,,,,,,,,,,
,Total area actually reporting,100.0%,"9,438",110,356,"4,819","4,153","61,825","10,926","40,639","10,260",,,
,"Rate per 100,000 inhabitants",,554.8,6.5,20.9,283.3,244.1,"3,634.2",642.3,"2,388.9",603.1,,,
"San Jose-Sunnyvale-Santa Clara, CA M.S.A.",,"1,770,793",,,,,,,,,,,,
,Includes San Benito and Santa Clara Counties,,,,,,,,,,,,,
,City of San Jose,"920,548","3,561",29,217,"1,030","2,285","24,240","4,423","12,678","7,139",,,
,City of Sunnyvale,"130,063",184,1,21,81,81,"2,632",524,"1,699",409,,,
,City of Santa Clara,"106,351",180,3,16,59,102,"3,354",595,"2,283",476,,,
,City of Mountain View,"69,900",300,0,10,71,219,"2,244",271,"1,648",325,,,
,City of Milpitas,"63,954",182,0,15,52,115,"2,143",334,"1,523",286,,,
,City of Palo Alto,"57,495",62,0,1,32,29,"1,871",399,"1,333",139,,,
,City of Cupertino,"52,641",109,0,0,23,86,"1,094",338,710,46,,,
,Total area actually reporting,100.0%,"5,607",40,338,"1,555","3,674","48,117","9,165","28,751","10,201",,,
,"Rate per 100,000 inhabitants",,316.6,2.3,19.1,87.8,207.5,"2,717.3",517.6,"1,623.6",576.1,,,
"San Luis Obispo-Paso Robles, CA M.S.A.",,"257,779", ,,,,,,,,,,,
,Includes San Luis Obispo County,,,,,,,,,,,,,
,City of San Luis Obispo,"43,901",160,0,22,25,113,"1,727",358,"1,273",96,,,
,City of Paso Robles,"27,724",89,1,15,12,61,989,230,666,93,,,
,Total area actually reporting,100.0%,736,6,79,95,556,"6,711","1,486","4,737",488,,,
,"Rate per 100,000 inhabitants",,285.5,2.3,30.6,36.9,215.7,"2,603.4",576.5,"1,837.6",189.3,,,
"Santa Barbara-Santa Maria-Goleta, CA M.S.A.",,"404,371",,,,,,,,,,,,
,Includes Santa Barbara County,,,,,,,,,,,,,
,City of Santa Barbara,"86,673",458,1,33,103,321,"2,483",544,"1,781",158,,,
,City of Santa Maria,"85,106",742,2,43,113,584,"2,410",372,"1,550",488,,,
,City of Goleta,"29,631",40,7,1,11,21,400,118,259,23,,,
,Total area actually reporting,100.0%,"1,752",13,131,299,"1,309","9,092","1,927","6,268",897,,,
,"Rate per 100,000 inhabitants",,433.3,3.2,32.4,73.9,323.7,"2,248.4",476.5,"1,550.1",221.8,,,
"Santa Cruz-Watsonville, CA M.S.A.",,"251,914", ,,,,,,,,,,,
,Includes Santa Cruz County,,,,,,,,,,,,,
,City of Santa Cruz,"55,253",399,3,38,107,251,"3,198",537,"2,412",249,,,
,City of Watsonville,"48,359",304,6,17,82,199,"2,007",359,"1,485",163,,,
,Total area actually reporting,100.0%,"1,083",16,96,227,744,"9,936","1,961","7,118",857,,,
,"Rate per 100,000 inhabitants",,429.9,6.4,38.1,90.1,295.3,"3,944.2",778.4,"2,825.6",340.2,,,
"Santa Fe, NM M.S.A.",,"142,770",,,,,,,,,,,,
,Includes Santa Fe County,,,,,,,,,,,,,
,City of Santa Fe ,"71,591",419,9,42,104,264,"4,249","2,209","1,824",216,,,
,Total area actually reporting,98.0%,618,9,66,114,429,"5,254","2,955","2,082",217,,,
,Estimated total,100.0%,636,9,68,116,443,"5,335","2,976","2,132",227,,,
,"Rate per 100,000 inhabitants",,445.5,6.3,47.6,81.2,310.3,"3,736.8","2,084.5","1,493.3",159.0,,,
"Santa Rosa-Petaluma, CA M.S.A.",,"470,678", ,,,,,,,,,,,
,Includes Sonoma County,,,,,,,,,,,,,
,City of Santa Rosa,"154,537",891,6,75,175,635,"4,212",833,"2,887",492,,,
,City of Petaluma,"55,340",211,2,18,25,166,"1,178",136,964,78,,,
,Total area actually reporting,100.0%,"2,163",11,173,300,"1,679","10,083","2,209","6,903",971,,,
,"Rate per 100,000 inhabitants",,459.5,2.3,36.8,63.7,356.7,"2,142.2",469.3,"1,466.6",206.3,,,
"Sarasota-Bradenton-Venice, FL M.S.A.",,"684,386",,,,,,,,,,,,
,Includes Manatee and Sarasota Counties,,,,,,,,,,,,,
,City of Sarasota,"54,617",565,4,23,196,342,"3,583",847,"2,484",252,,,
,City of Bradenton,"54,826",410,4,10,137,259,"2,640",580,"1,799",261,,,
,City of Venice,"21,328",53,0,3,7,43,599,127,449,23,,,
,Total area actually reporting,100.0%,"4,624",30,188,997,"3,409","28,197","6,838","19,358","2,001",,,
,"Rate per 100,000 inhabitants",,675.6,4.4,27.5,145.7,498.1,"4,120.0",999.1,"2,828.5",292.4,,,
"Savannah, GA M.S.A.2",,"323,964",,,,,,,,,,,,
,"Includes Bryan, Chatham, and Effingham2 Counties",,,,,,,,,,,,,
,City of Savannah-Chatham Metropolitan,"213,488","1,184",29,65,690,400,"9,924","2,039","6,665","1,220",,,
,Total area actually reporting,98.4%,,32,89,779,,"13,160","2,688","8,967","1,505",,,
,Estimated total,100.0%,,32,90,789,,"13,421","2,736","9,155","1,530",,,
,"Rate per 100,000 inhabitants",,,9.9,27.8,243.5,,"4,142.7",844.5,"2,825.9",472.3,,,
"ScrantonWilkes-Barre, PA M.S.A.",,"551,034", ,,,,,,,,,,,
,"Includes Lackawanna, Luzerne, and Wyoming Counties",,,,,,,,,,,,,
,City of Scranton,"73,185",334,0,26,100,208,"2,544",635,"1,742",167,,,
,City of Wilkes-Barre,"41,374",209,6,31,110,62,"1,686",298,"1,256",132,,,
,Total area actually reporting,83.5%,"1,447",17,125,327,978,"11,300","2,207","8,337",756,,,
,Estimated total,100.0%,"1,668",19,139,389,"1,121","13,249","2,497","9,868",884,,,
,"Rate per 100,000 inhabitants",,302.7,3.4,25.2,70.6,203.4,"2,404.4",453.1,"1,790.8",160.4,,,
"Seattle-Tacoma-Bellevue, WA M.S.A.",,"3,258,355",,,,,,,,,,,,
,Includes Metropolitan Divisions of Seattle-Bellevue-Everett and Tacoma,,,,,,,,,,,,,
,City of Seattle,"583,772","4,152",30,129,"1,667","2,326","39,532","7,505","23,880","8,147",,,
,City of Tacoma,"199,264","2,076",21,142,680,"1,233","16,540","3,276","9,663","3,601",,,
,City of Bellevue,"119,150",184,3,42,71,68,"4,245",591,"3,178",476,,,
,City of Everett,"98,264",602,3,43,240,316,"9,063","1,352","5,468","2,243",,,
,City of Kent,"83,206",563,2,83,224,254,"6,252","1,223","3,466","1,563",,,
,City of Renton,"56,776",259,2,26,128,103,"4,412",690,"2,739",983,,,
,Total area actually reporting,99.9%,"13,551",117,"1,285","4,688","7,461","163,178","31,672","98,608","32,898",,,
,Estimated total,100.0%,"13,552",117,"1,285","4,688","7,462","163,199","31,676","98,622","32,901",, ,
,"Rate per 100,000 inhabitants",,415.9,3.6,39.4,143.9,229.0,"5,008.6",972.1,"3,026.7","1,009.7",,,
"Seattle-Bellevue-Everett, WA M.D.",,"2,491,616",,,,,,,,,,,,
,Includes King and Snohomish Counties,,,,,,,,,,,,,
,Total area actually reporting,100.0%,"9,343",82,932,"3,512","4,817","124,339","23,246","75,295","25,798",,,
,"Rate per 100,000 inhabitants",,375.0,3.3,37.4,141.0,193.3,"4,990.3",933.0,"3,021.9","1,035.4",,,
"Tacoma, WA M.D.",,"766,739",,,,,,,,,,,,
,Includes Pierce County,,,,,,,,,,,,,
,Total area actually reporting,99.9%,"4,208",35,353,"1,176","2,644","38,839","8,426","23,313","7,100",,,
,Estimated total,100.0%,"4,209",35,353,"1,176","2,645","38,860","8,430","23,327","7,103",,,
,"Rate per 100,000 inhabitants",,548.9,4.6,46.0,153.4,345.0,"5,068.2","1,099.5","3,042.4",926.4,,,
"Sebastian-Vero Beach, FL M.S.A.",,"130,763",,,,,,,,,,,,
,Includes Indian River County,,,,,,,,,,,,,
,City of Sebastian,"19,974",51,0,3,8,40,512,141,348,23,,,
,City of Vero Beach,"17,366",76,0,7,23,46,642,121,498,23,,,
,Total area actually reporting,100.0%,479,7,38,121,313,"3,943",888,"2,852",203,,,
,"Rate per 100,000 inhabitants",,366.3,5.4,29.1,92.5,239.4,"3,015.4",679.1,"2,181.0",155.2,,,
"Sheboygan, WI M.S.A.",,"115,030",,,,,,,,,,,,
,Includes Sheboygan County,,,,,,,,,,,,,
,City of Sheboygan,"49,051",79,1,29,11,38,"2,381",320,"1,973",88,,,
,Total area actually reporting,100.0%,134,1,46,13,74,"3,334",454,"2,775",105,,,
,"Rate per 100,000 inhabitants",,116.5,0.9,40.0,11.3,64.3,"2,898.4",394.7,"2,412.4",91.3,,,
"Sherman-Denison, TX M.S.A.",,"120,145", ,,,,,,,,,,,
,Includes Grayson County,,,,,,,,,,,,,
,City of Sherman,"37,833",153,0,12,25,116,"1,611",349,"1,208",54,,,
,City of Denison,"24,318",92,1,5,23,63,"1,128",270,793,65,,,
,Total area actually reporting,100.0%,300,1,25,53,221,"3,954","1,006","2,726",222,,,
,"Rate per 100,000 inhabitants",,249.7,0.8,20.8,44.1,183.9,"3,291.0",837.3,"2,268.9",184.8,,,
"Shreveport-Bossier City, LA M.S.A.",,"363,251", ,,,,,,,,,,,
,"Includes Bossier, Caddo, and De Soto Parishes",,,,,,,,,,,,,
,City of Shreveport,"188,505","2,249",28,140,586,"1,495","12,693","2,922","8,508","1,263",,,
,City of Bossier City,"57,350","1,201",1,40,91,"1,069","2,866",582,"2,010",274,,,
,Total area actually reporting,100.0%,"4,315",41,207,706,"3,361","18,432","4,091","12,576","1,765",,,
,"Rate per 100,000 inhabitants",,"1,187.9",11.3,57.0,194.4,925.3,"5,074.2","1,126.2","3,462.1",485.9,,,
"Sioux City, IA-NE-SD M.S.A.",,"143,363",,,,,,,,,,,,
,"Includes Woodbury County, IA; Dakota and Dixon Counties, NE; and Union County, SD",,,,,,,,,,,,,
,"City of Sioux City, IA","83,590",398,0,51,51,296,"3,384",702,"2,491",191,,,
,Total area actually reporting,97.0%,469,1,59,58,351,"3,996",847,"2,922",227,,,
,Estimated total,100.0%,473,1,60,58,354,"4,046",858,"2,958",230,,,
,"Rate per 100,000 inhabitants",,329.9,0.7,41.9,40.5,246.9,"2,822.2",598.5,"2,063.3",160.4,,,
"Sioux Falls, SD M.S.A.",,"209,523",,,,,,,,,,,,
,"Includes Lincoln, McCook, Minnehaha, and Turner Counties",,,,,,,,,,,,,
,City of Sioux Falls,"140,593",426,7,115,34,270,"3,596",768,"2,616",212,,,
,Total area actually reporting,97.2%,475,7,125,34,309,"4,134",958,"2,928",248,,,
,Estimated total,100.0%,481,7,126,34,314,"4,200",972,"2,976",252,,,
,"Rate per 100,000 inhabitants",,229.6,3.3,60.1,16.2,149.9,"2,004.6",463.9,"1,420.4",120.3,,,
"South Bend-Mishawaka, IN-MI M.S.A.",,"319,789", ,,,,,,,,,,,
,"Includes St. Joseph County, IN and Cass County, MI",,,,,,,,,,,,,
,"City of South Bend, IN","105,959",805,14,67,430,294,"7,411","1,930","4,895",586,,,
,"City of Mishawaka, IN","48,818",176,0,12,62,102,"3,452",389,"2,885",178,,,
,Total area actually reporting,96.7%,"1,170",17,108,526,519,"13,909","3,003","9,915",991,,,
,Estimated total,100.0%,"1,203",17,112,535,539,"14,257","3,063","10,166","1,028",,,
,"Rate per 100,000 inhabitants",,376.2,5.3,35.0,167.3,168.5,"4,458.3",957.8,"3,179.0",321.5,,,
"Spartanburg, SC M.S.A.",,"270,958",,,,,,,,,,,,
,Includes Spartanburg County,,,,,,,,,,,,,
,City of Spartanburg,"38,976",715,5,19,194,497,"3,628",870,"2,494",264,,,
,Total area actually reporting,99.8%,"1,827",19,76,440,"1,292","12,807","3,178","8,674",955,,,
,Estimated total,100.0%,"1,830",19,76,441,"1,294","12,829","3,182","8,691",956,,,
,"Rate per 100,000 inhabitants",,675.4,7.0,28.0,162.8,477.6,"4,734.7","1,174.4","3,207.5",352.8,,,
"Spokane, WA M.S.A.",,"448,278",,,,,,,,,,,,
,Includes Spokane County,,,,,,,,,,,,,
,City of Spokane,"200,200","1,197",10,91,392,704,"11,804","2,165","7,340","2,299",,,
,Total area actually reporting,100.0%,"1,799",17,129,468,"1,185","18,427","3,547","11,590","3,290",,,
,"Rate per 100,000 inhabitants",,401.3,3.8,28.8,104.4,264.3,"4,110.6",791.3,"2,585.4",733.9,,,
"Springfield, MA M.S.A.3",,"691,394",,,,,,,,,,,,
,"Includes Franklin, Hampden, and Hampshire Counties",,,,,,,,,,,,,
,City of Springfield,"152,644","2,260",15,115,682,"1,448","8,747","2,178","4,963","1,606",,,
