Table 6,,,,,,,,,,,
Crime in the United States,,,,,,,,,,,
"by Metropolitan Statistical Area, 2012",,,,,,,,,,,
Metropolitan Statistical Area,Counties/principal cities,Population,"Violent
crime","Murder and
nonnegligent
manslaughter","Forcible
rape",Robbery,"Aggravated
assault","Property
crime",Burglary,"Larceny-
theft","Motor
vehicle
theft"
,Includes Martin and St. Lucie Counties,, ,,,,,,,,
,City of Port St. Lucie,"168,416",395,4,47,55,289,"3,031",816,"2,124",91
,Total area actually reporting,100.0%,"1,527",11,140,311,"1,065","10,170","2,722","7,042",406
,"Rate per 100,000 inhabitants",,352.1,2.5,32.3,71.7,245.6,"2,344.9",627.6,"1,623.7",93.6
"Prescott, AZ M.S.A.",,"214,201", ,,,,, ,,,
,Includes Yavapai County,,,,,,,,,,
,City of Prescott,"40,420",168,2,14,19,133,"1,104",197,883,24
,Total area actually reporting,100.0%,700,12,45,47,596,"4,442",948,"3,268",226
,"Rate per 100,000 inhabitants",,326.8,5.6,21.0,21.9,278.2,"2,073.8",442.6,"1,525.7",105.5
"Providence-Warwick, RI-MA M.S.A.",,"1,604,098",,,,,,,,,
,"Includes Bristol County, MA and Bristol, Kent, Newport, Providence, and Washington Counties RI",, ,,,,, ,,,
,"City of Providence, RI ","177,882","1,133",17,84,362,670,"7,977","1,929","4,884","1,164"
,City of Warwick RI,"82,282",102,1,15,29,57,"2,117",334,"1,688",95
,Total area actually reporting,100.0%,"5,449",38,466,"1,407","3,538","40,028","9,606","27,000","3,422"
,"Rate per 100,000 inhabitants",,339.7,2.4,29.1,87.7,220.6,"2,495.4",598.8,"1,683.2",213.3
"Provo-Orem, UT M.S.A.",,"548,142",,,,,,,,,
,Includes Juab and Utah Counties,, ,,,,, ,,,
,City of Provo ,"116,879",149,0,36,19,94,"2,465",301,"2,051",113
,City of Orem,"91,953",41,2,11,21,7,"2,168",203,"1,887",78
,Total area actually reporting,100.0%,388,4,83,68,233,"10,189","1,315","8,506",368
,"Rate per 100,000 inhabitants",,70.8,0.7,15.1,12.4,42.5,"1,858.8",239.9,"1,551.8",67.1
"Pueblo, CO M.S.A.",,"162,766", ,,,,, ,,,
,Includes Pueblo County,,,,,,,,,,
,City of Pueblo,"109,065",797,8,21,199,569,"7,030","1,895","4,642",493
,Total area actually reporting,100.0%,831,8,21,203,599,"8,114","2,087","5,478",549
,"Rate per 100,000 inhabitants",,510.5,4.9,12.9,124.7,368.0,"4,985.1","1,282.2","3,365.6",337.3
"Punta Gorda, FL M.S.A.",,"162,701", ,,,,, ,,,
,Includes Charlotte County,,,,,,,,,,
,City of Punta Gorda ,"16,925",11,0,0,4,7,278,49,223,6
,Total area actually reporting,100.0%,399,1,24,37,337,"3,507",910,"2,475",122
,"Rate per 100,000 inhabitants",,245.2,0.6,14.8,22.7,207.1,"2,155.5",559.3,"1,521.2",75.0
"Racine, WI M.S.A.",,"195,888", ,,,,, ,,,
,Includes Racine County,,,,,,,,,,
,City of Racine,"79,055",374,4,31,211,128,"3,181","1,101","1,950",130
,Total area actually reporting,100.0%,484,6,40,226,212,"5,290","1,430","3,673",187
,"Rate per 100,000 inhabitants",,247.1,3.1,20.4,115.4,108.2,"2,700.5",730.0,"1,875.1",95.5
"Raleigh, NC M.S.A.",,"1,175,043",,,,,,,,,
,"Includes Franklin, Johnston, and Wake Counties",, ,,,,,,,,
,City of Raleigh ,"420,594","1,780",17,113,665,985,"13,779","3,036","9,812",931
,Total area actually reporting,99.8%,"2,895",21,205,891,"1,778","28,938","7,219","20,147","1,572"
,Estimated total,100.0%,"2,902",21,205,893,"1,783","29,032","7,240","20,217","1,575"
,"Rate per 100,000 inhabitants",,247.0,1.8,17.4,76.0,151.7,"2,470.7",616.1,"1,720.5",134.0
"Rapid City, SD M.S.A.",,"138,237", ,,,,, ,,,
,"Includes Custer, Meade, and Pennington Counties",,,,,,,,,,
,City of Rapid City ,"69,979",425,4,111,55,255,"3,555",591,"2,734",230
,Total area actually reporting,100.0%,529,4,142,55,328,"4,371",753,"3,347",271
,"Rate per 100,000 inhabitants",,382.7,2.9,102.7,39.8,237.3,"3,162.0",544.7,"2,421.2",196.0
"Reading, PA M.S.A.",,"413,447", ,,,,, ,,,
,Includes Berks County,,,,,,,,,,
,City of Reading ,"88,557",828,15,44,382,387,"3,612","1,447","1,629",536
,Total area actually reporting,99.1%,"1,368",19,92,480,777,"9,231","2,444","6,002",785
,Estimated total,100.0%,"1,376",19,93,482,782,"9,305","2,456","6,062",787
,"Rate per 100,000 inhabitants",,332.8,4.6,22.5,116.6,189.1,"2,250.6",594.0,"1,466.2",190.4
"Redding, CA M.S.A.",,"179,423", ,,,,, ,,,
,Includes Shasta County,,,,,,,,,,
,City of Redding ,"90,974",705,3,66,131,505,"4,380","1,088","2,790",502
,Total area actually reporting,100.0%,"1,298",7,97,165,"1,029","6,280","1,754","3,623",903
,"Rate per 100,000 inhabitants",,723.4,3.9,54.1,92.0,573.5,"3,500.1",977.6,"2,019.3",503.3
"Reno, NV M.S.A.",,"435,223",,,,,,,,,
,Includes Storey and Washoe Counties,, ,,,,,,,,
,City of Reno,"230,486","1,192",7,33,327,825,"7,423","1,633","4,909",881
,Total area actually reporting,100.0%,"1,721",12,85,416,"1,208","11,470","2,684","7,542","1,244"
,"Rate per 100,000 inhabitants",,395.4,2.8,19.5,95.6,277.6,"2,635.4",616.7,"1,732.9",285.8
"Richmond, VA M.S.A.",,"1,232,458",,,,,,,,,
,"Includes Amelia, Caroline, Charles City, Chesterfield, Dinwiddie, Goochland, Hanover, Henrico, King William, New Kent, Powhatan, Prince George, and Sussex Counties and Colonial Heights, Hopewell, Petersburg, and Richmond Cities",,,,,,,,,,
,City of Richmond ,"207,799","1,348",42,38,633,635,"9,103","2,030","6,138",935
,Total area actually reporting,100.0%,"3,000",84,160,"1,165","1,591","31,592","6,301","23,242","2,049"
,"Rate per 100,000 inhabitants",,243.4,6.8,13.0,94.5,129.1,"2,563.3",511.3,"1,885.8",166.3
"Riverside-San Bernardino-Ontario, CA M.S.A.",,"4,344,917",,,,,,,,,
,Includes Riverside and San Bernardino Counties,,,,,,,,,,
,City of Riverside ,"313,532","1,389",16,76,517,780,"10,818","2,247","7,095","1,476"
,City of San Bernardino,"214,987","2,022",47,56,803,"1,116","10,510","2,809","4,991","2,710"
,City of Ontario,"167,933",534,3,36,266,229,"5,056","1,058","3,019",979
,City of Corona,"157,342",210,1,17,102,90,"4,143",861,"2,766",516
,City of Victorville,"118,687",676,6,40,222,408,"4,465","1,837","1,981",647
,City of Temecula,"103,414",97,0,10,53,34,"2,440",588,"1,640",212
,City of Chino,"79,792",291,1,9,52,229,"2,116",562,"1,319",235
,City of Redlands,"70,399",221,2,15,75,129,"2,992",608,"1,984",400
,Total area actually reporting,100.0%,"16,021",178,744,"5,272","9,827","131,275","37,893","72,682","20,700"
,"Rate per 100,000 inhabitants",,368.7,4.1,17.1,121.3,226.2,"3,021.3",872.1,"1,672.8",476.4
"Roanoke, VA M.S.A.",,"312,265", ,,,,, ,,,
,"Includes Botetourt, Craig, Franklin, and Roanoke Counties and Roanoke and Salem Cities",,,,,,,,,,
,City of Roanoke,"97,780",542,9,40,141,352,"4,771",940,"3,583",248
,Total area actually reporting,100.0%,794,11,75,166,542,"8,027","1,575","6,069",383
,"Rate per 100,000 inhabitants",,254.3,3.5,24.0,53.2,173.6,"2,570.6",504.4,"1,943.5",122.7
"Rochester, MN M.S.A.4",,"209,826", ,,,,, ,,,
,"Includes Dodge, Fillmore, Olmsted, and Wabasha Counties4",,,,,,,,,,
,City of Rochester4,"108,582",,2,,55,104,"2,721",495,"2,137",89
,Total area actually reporting,100.0%,,3,,59,165,"3,697",777,"2,773",147
,"Rate per 100,000 inhabitants",,,1.4,,28.1,78.6,"1,761.9",370.3,"1,321.6",70.1
"Rochester, NY M.S.A.1",,"1,086,565",,,,,, ,,,
,"Includes Livingston, Monroe, Ontario, Orleans, Wayne, and Yates Counties1",,,,,,,,,,
,City of Rochester1 ,"211,993","2,069",36,112,817,"1,104","11,283","2,978","7,683",622
,Total area actually reporting,100.0%,"3,090",44,256,"1,060","1,730","28,745","6,304","21,341","1,100"
,"Rate per 100,000 inhabitants",,284.4,4.0,23.6,97.6,159.2,"2,645.5",580.2,"1,964.1",101.2
"Rockford, IL M.S.A.",,"348,522", ,,,,, ,,,
,Includes Boone and Winnebago Counties,,,,,,,,,,
,City of Rockford,"152,293","2,083",9,124,499,"1,451","7,608","2,224","5,003",381
,Total area actually reporting,80.8%,"2,450",11,191,554,"1,694","10,819","2,937","7,387",495
,Estimated total,100.0%,"2,578",12,208,583,"1,775","12,039","3,217","8,274",548
,"Rate per 100,000 inhabitants",,739.7,3.4,59.7,167.3,509.3,"3,454.3",923.0,"2,374.0",157.2
"Rocky Mount, NC M.S.A.",,"153,664", ,,,,, ,,,
,Includes Edgecombe and Nash Counties,,,,,,,,,,
,City of Rocky Mount ,"58,002",749,8,13,128,600,"3,383","1,046","2,192",145
,Total area actually reporting,99.0%,940,14,31,161,734,"5,391","1,860","3,282",249
,Estimated total,100.0%,944,14,31,162,737,"5,448","1,873","3,324",251
,"Rate per 100,000 inhabitants",,614.3,9.1,20.2,105.4,479.6,"3,545.4","1,218.9","2,163.2",163.3
"Rome, GA M.S.A.",,"97,013", ,,,,, ,,,
,Includes Floyd County,,,,,,,,,,
,City of Rome,"36,567",190,2,15,45,128,"2,241",490,"1,667",84
,Total area actually reporting,100.0%,353,5,26,57,265,"3,877",941,"2,786",150
,"Rate per 100,000 inhabitants",,363.9,5.2,26.8,58.8,273.2,"3,996.4",970.0,"2,871.8",154.6
"Sacramento--Roseville--Arden-Arcade, CA M.S.A.",,"2,196,416",,,,,,,,,
,"Includes El Dorado, Placer, Sacramento, and Yolo Counties",,,,,,,,,,
,City of Sacramento,"476,557","3,520",34,125,"1,211","2,150","19,967","4,474","12,147","3,346"
,City of Roseville,"122,896",293,2,15,84,192,"3,288",519,"2,536",233
,City of Folsom,"73,678",85,0,7,24,54,"1,277",235,963,79
,Total area actually reporting,100.0%,"9,688",84,530,"2,919","6,155","64,260","15,279","39,256","9,725"
,"Rate per 100,000 inhabitants",,441.1,3.8,24.1,132.9,280.2,"2,925.7",695.6,"1,787.3",442.8
"Saginaw, MI M.S.A.",,"199,233",,,,,,,,,
,Includes Saginaw County,, ,,,,,,,,
,City of Saginaw,"51,267","1,211",27,65,167,952,"1,765","1,042",618,105
,Total area actually reporting,100.0%,"1,627",30,120,242,"1,235","4,662","1,746","2,690",226
,"Rate per 100,000 inhabitants",,816.6,15.1,60.2,121.5,619.9,"2,340.0",876.4,"1,350.2",113.4
"Salem, OR M.S.A.",,"397,669", ,,,,, ,,,
,Includes Marion and Polk Counties,,,,,,,,,,
,City of Salem ,"157,353",564,7,40,138,379,"6,731","1,043","4,958",730
,Total area actually reporting,100.0%,942,13,89,200,640,"12,771","2,185","9,313","1,273"
,"Rate per 100,000 inhabitants",,236.9,3.3,22.4,50.3,160.9,"3,211.5",549.5,"2,341.9",320.1
"Salinas, CA M.S.A.",,"425,810", ,,,,, ,,,
,Includes Monterey County,,,,,,,,,,
,City of Salinas,"154,413","1,027",21,41,488,477,"4,906","1,218","2,606","1,082"
,Total area actually reporting,100.0%,"1,866",45,94,706,"1,021","10,298","2,912","5,612","1,774"
,"Rate per 100,000 inhabitants",,438.2,10.6,22.1,165.8,239.8,"2,418.4",683.9,"1,318.0",416.6
"Salisbury, MD-DE M.S.A.",,"381,281", ,,,,, ,,,
,"Includes Sussex County, DE and Somerset, Wicomico, and Worcester Counties, MD",,,,,,,,,,
,"City of Salisbury, MD","30,778",366,1,18,118,229,"1,859",336,"1,470",53
,Total area actually reporting,100.0%,"1,758",15,127,356,"1,260","12,589","3,184","9,046",359
,"Rate per 100,000 inhabitants",,461.1,3.9,33.3,93.4,330.5,"3,301.8",835.1,"2,372.5",94.2
"Salt Lake City, UT M.S.A.",,"1,123,286", ,,,,, ,,,
,Includes Salt Lake and Tooele Counties,,,,,,,,,,
,City of Salt Lake City,"192,465","1,300",8,122,316,854,"14,357","1,824","10,827","1,706"
,Total area actually reporting,99.9%,"3,679",25,502,823,"2,329","48,604","7,047","37,136","4,421"
,Estimated total,100.0%,"3,679",25,502,823,"2,329","48,616","7,049","37,145","4,422"
,"Rate per 100,000 inhabitants",,327.5,2.2,44.7,73.3,207.3,"4,328.0",627.5,"3,306.8",393.7
"San Antonio-New Braunfels, TX M.S.A.",,"2,227,800", ,,,,, ,,,
,"Includes Atascosa, Bandera, Bexar, Comal, Guadalupe, Kendall, Medina, and Wilson Counties",,,,,,,,,,
,City of San Antonio,"1,380,123","6,943",89,549,"1,864","4,441","82,668","15,668","60,633","6,367"
,City of New Braunfels,"60,482",115,1,19,27,68,"2,110",300,"1,718",92
,Total area actually reporting,99.9%,"8,700",114,811,"2,117","5,658","104,406","20,590","76,254","7,562"
,Estimated total,100.0%,"8,703",114,811,"2,118","5,660","104,441","20,597","76,280","7,564"
,"Rate per 100,000 inhabitants",,390.7,5.1,36.4,95.1,254.1,"4,688.1",924.5,"3,424.0",339.5
"San Diego-Carlsbad, CA M.S.A.",,"3,169,187",,,,,,,,,
,Includes San Diego County,,,,,,,,,,
,City of San Diego,"1,338,477","5,529",47,304,"1,517","3,661","31,700","5,902","19,188","6,610"
,City of Carlsbad,"107,879",265,2,26,55,182,"2,109",497,"1,463",149
,Total area actually reporting,100.0%,"11,839",107,692,"3,200","7,840","69,624","14,076","43,412","12,136"
,"Rate per 100,000 inhabitants",,373.6,3.4,21.8,101.0,247.4,"2,196.9",444.2,"1,369.8",382.9
"San Francisco-Oakland-Hayward, CA M.S.A.2, 3",,"4,431,755",,,,,,,,,
,"Includes the Metropolitan Divisions of Oakland-Hayward-Berkeley, San Francisco-Redwood City-South San Francisco, and San Rafael",,,,,,,,,,
,City of San Francisco,"820,363","5,777",69,108,"3,484","2,116","38,898","5,317","28,242","5,339"
,City of Oakland,"399,487","7,963",127,271,"4,338","3,227","26,342","6,168","13,198","6,976"
,City of Hayward,"147,424",613,6,46,342,219,"4,792","1,109","2,227","1,456"
,City of Berkeley,"114,961",487,5,39,335,108,"5,696",971,"4,084",641
,City of San Leandro,"86,869",437,2,15,271,149,"3,585",699,"2,094",792
,City of Redwood City,"78,466",208,0,13,88,107,"1,800",526,"1,121",153
,City of San Ramon,"74,013",45,0,3,13,29,850,146,633,71
,City of Pleasanton,"71,875",49,1,4,18,26,"1,279",165,995,119
,City of Walnut Creek,"65,816",84,0,3,19,62,"2,050",446,"1,463",141
,City of South San Francisco,"65,006",111,0,12,29,70,"1,321",351,782,188
,City of San Rafael,"58,854",191,0,14,84,93,"1,785",360,"1,132",293
,Total area actually reporting,100.0%,"24,411",288,892,"12,040","11,191",,,,"27,833"
,"Rate per 100,000 inhabitants",,550.8,6.5,20.1,271.7,252.5,,,,628.0
"Oakland-Hayward-Berkeley, CA M.D.3",,"2,620,044",,,,,,,,,
,Includes Alameda and Contra Costa Counties,,,,,,,,,,
,Total area actually reporting,100.0%,"16,283",209,646,"7,822","7,606",,"21,801",,"20,302"
,"Rate per 100,000 inhabitants",,621.5,8.0,24.7,298.5,290.3,,832.1,,774.9
"San Francisco-Redwood City-South San Francisco, CA M.D.",,"1,554,315",,,,,,,,,
,Includes San Francisco and San Mateo Counties,,,,,,,,,,
,Total area actually reporting,100.0%,"7,638",79,216,"4,062","3,281","54,471","8,674","38,850","6,947"
,"Rate per 100,000 inhabitants",,491.4,5.1,13.9,261.3,211.1,"3,504.5",558.1,"2,499.5",446.9
"San Rafael, CA M.D.2",,"257,396",,,,,,,,,
,Includes Marin County,,,,,,,,,,
,Total area actually reporting,100.0%,490,0,30,156,304,,,,584
,"Rate per 100,000 inhabitants",,190.4,0.0,11.7,60.6,118.1,,,,226.9
"San Jose-Sunnyvale-Santa Clara, CA M.S.A.",,"1,882,748",,,,,,,,,
,Includes San Benito and Santa Clara Counties,,,,,,,,,,
,City of San Jose,"976,459","3,547",45,280,"1,208","2,014","28,463","5,206","14,498","8,759"
,City of Sunnyvale,"143,606",170,3,14,71,82,"2,555",524,"1,696",335
,City of Santa Clara,"119,360",221,0,10,61,150,"3,306",584,"2,273",449
,City of Mountain View,"75,933",155,0,5,34,116,"1,419",178,"1,127",114
,City of Milpitas,"68,433",81,1,11,34,35,"2,023",332,"1,350",341
,City of Palo Alto,"66,019",53,0,4,26,23,"1,409",327,"1,034",48
,City of Cupertino,"59,769",58,0,6,23,29,797,175,569,53
,Total area actually reporting,100.0%,"5,159",56,417,"1,672","3,014","49,015","9,297","28,617","11,101"
,"Rate per 100,000 inhabitants",,274.0,3.0,22.1,88.8,160.1,"2,603.4",493.8,"1,520.0",589.6
"San Luis Obispo-Paso Robles-Arroyo Grande, CA M.S.A.",,"274,491",,,,,,,,,
,Includes San Luis Obispo County,, ,,,,,,,,
,City of San Luis Obispo,"45,947",119,1,20,19,79,"1,971",414,"1,476",81
,City of Paso Robles,"30,344",91,1,6,6,78,777,152,578,47
,City of Arroyo Grande,"17,568",60,0,1,1,58,358,123,210,25
,Total area actually reporting,100.0%,906,6,69,78,753,"6,252","1,568","4,266",418
,"Rate per 100,000 inhabitants",,330.1,2.2,25.1,28.4,274.3,"2,277.7",571.2,"1,554.1",152.3
"Santa Cruz-Watsonville, CA M.S.A.",,"266,749",,,,,,,,,
,Includes Santa Cruz County,, ,,,,,,,,
,City of Santa Cruz,"60,902",433,3,34,83,313,"3,585",527,"2,794",264
,City of Watsonville,"52,064",252,2,15,87,148,"1,585",265,"1,024",296
,Total area actually reporting,100.0%,"1,041",10,76,220,735,"8,709","1,633","6,104",972
,"Rate per 100,000 inhabitants",,390.3,3.7,28.5,82.5,275.5,"3,264.9",612.2,"2,288.3",364.4
"Santa Fe, NM M.S.A.",,"145,880", ,,,,, ,,,
,Includes Santa Fe County,,,,,,,,,,
,City of Santa Fe ,"68,751",331,2,15,109,205,"3,897","1,907","1,816",174
,Total area actually reporting,100.0%,528,6,25,138,359,"5,445","2,715","2,466",264
,"Rate per 100,000 inhabitants",,361.9,4.1,17.1,94.6,246.1,"3,732.5","1,861.1","1,690.4",181.0
"Santa Maria-Santa Barbara, CA M.S.A.",,"430,836",,,,,,,,,
,Includes Santa Barbara County,,,,,,,,,,
,City of Santa Maria,"101,207",690,0,21,145,524,"2,430",712,"1,318",400
,City of Santa Barbara,"89,871",363,0,53,95,215,"3,115",558,"2,424",133
,Total area actually reporting,100.0%,"1,643",6,146,311,"1,180","10,164","2,430","6,933",801
,"Rate per 100,000 inhabitants",,381.4,1.4,33.9,72.2,273.9,"2,359.1",564.0,"1,609.2",185.9
"Santa Rosa, CA M.S.A.",,"492,642",,,,,,,,,
,Includes Sonoma County,, ,,,,,,,,
,City of Santa Rosa,"170,862",636,2,67,126,441,"3,818",725,"2,777",316
,Total area actually reporting,100.0%,"1,792",4,152,232,"1,404","8,514","1,826","5,982",706
,"Rate per 100,000 inhabitants",,363.8,0.8,30.9,47.1,285.0,"1,728.2",370.7,"1,214.3",143.3
"Savannah, GA M.S.A.",,"359,371", ,,,,, ,,,
,"Includes Bryan, Chatham, and Effingham Counties",,,,,,,,,,
,City of Savannah-Chatham Metropolitan,"231,285",878,23,25,491,339,"8,325","2,083","5,583",659
,Total area actually reporting,100.0%,"1,177",25,60,555,537,"11,256","2,773","7,666",817
,"Rate per 100,000 inhabitants",,327.5,7.0,16.7,154.4,149.4,"3,132.1",771.6,"2,133.2",227.3
"Scranton--Wilkes-Barre--Hazleton, PA M.S.A.",,"564,136",,,,,,,,,
,"Includes Lackawanna, Luzerne, and Wyoming Counties",, ,,,,,,,,
,City of Scranton,"76,118",252,0,23,129,100,"2,553",641,"1,796",116
,City of Wilkes-Barre,"41,532",172,3,30,76,63,"1,243",271,869,103
,City of Hazleton,"25,358",114,3,19,46,46,600,210,344,46
,Total area actually reporting,98.1%,"1,370",13,126,389,842,"12,638","2,714","9,366",558
,Estimated total,100.0%,"1,390",13,127,395,855,"12,841","2,748","9,528",565
,"Rate per 100,000 inhabitants",,246.4,2.3,22.5,70.0,151.6,"2,276.2",487.1,"1,689.0",100.2
"Seattle-Tacoma-Bellevue, WA M.S.A.2",,"3,534,349",,,,,,,,,
,Includes the Metropolitan Divisions of Seattle-Bellevue-Everett and Tacoma-Lakewood,,,,,,,,,,
,City of Seattle,"626,865","3,746",23,119,"1,421","2,183","31,931","6,523","21,852","3,556"
,City of Tacoma,"202,646","1,615",12,93,486,"1,024","12,866","2,965","7,995","1,906"
,City of Bellevue,"126,022",161,2,26,67,66,"3,503",685,"2,649",169
,City of Everett,"105,318",481,1,46,182,252,"6,416","1,165","4,281",970
,City of Kent,"122,102",543,2,68,194,279,"5,468","1,239","3,365",864
,City of Renton,"93,722",283,2,27,115,139,"4,562",897,"3,048",617
,City of Auburn,"72,218",248,6,23,110,109,"3,985",984,"2,415",586
,City of Lakewood,"59,416",465,1,39,108,317,"2,893",715,"1,960",218
,City of Redmond,"55,770",36,0,8,11,17,"1,192",172,971,49
,Total area actually reporting,100.0%,"11,904",104,"1,015","3,913","6,872",,,"88,216","16,023"
,"Rate per 100,000 inhabitants",,336.8,2.9,28.7,110.7,194.4,,,"2,496.0",453.4
"Seattle-Bellevue-Everett, WA M.D.",,"2,718,523",,,,,,,,,
,Includes King and Snohomish Counties,,,,,,,,,,
,Total area actually reporting,100.0%,"8,394",72,729,"2,998","4,595","102,194","22,872","67,364","11,958"
,"Rate per 100,000 inhabitants",,308.8,2.6,26.8,110.3,169.0,"3,759.2",841.3,"2,478.0",439.9
"Tacoma-Lakewood, WA M.D.2",,"815,826",,,,,,,,,
,Includes Pierce County,,,,,,,,,,
,Total area actually reporting,100.0%,"3,510",32,286,915,"2,277",,,"20,852","4,065"
,"Rate per 100,000 inhabitants",,430.2,3.9,35.1,112.2,279.1,,,"2,555.9",498.3
"Sebastian-Vero Beach, FL M.S.A.",,"140,789", ,,,,, ,,,
,Includes Indian River County,,,,,,,,,,
,City of Sebastian,"22,368",48,0,1,5,42,606,130,461,15
,City of Vero Beach,"15,527",56,0,1,17,38,586,132,440,14
,Total area actually reporting,100.0%,438,1,17,64,356,"3,783",851,"2,830",102
,"Rate per 100,000 inhabitants",,311.1,0.7,12.1,45.5,252.9,"2,687.0",604.5,"2,010.1",72.4
"Sebring, FL M.S.A.",,"99,976", ,,,,, ,,,
,Includes Highlands County,,,,,,,,,,
,City of Sebring,"10,617",51,0,4,22,25,461,136,318,7
,Total area actually reporting,91.1%,265,3,24,65,173,"2,472",840,"1,527",105
,Estimated total,100.0%,306,3,26,77,200,"2,806",914,"1,768",124
,"Rate per 100,000 inhabitants",,306.1,3.0,26.0,77.0,200.0,"2,806.7",914.2,"1,768.4",124.0
"Sheboygan, WI M.S.A.",,"115,444", ,,,,, ,,,
,Includes Sheboygan County,,,,,,,,,,
,City of Sheboygan,"49,261",170,4,19,21,126,"1,517",262,"1,212",43
,Total area actually reporting,100.0%,195,5,25,23,142,"2,452",408,"1,964",80
,"Rate per 100,000 inhabitants",,168.9,4.3,21.7,19.9,123.0,"2,124.0",353.4,"1,701.3",69.3
"Sherman-Denison, TX M.S.A.",,"123,237",,,,,,,,,
,Includes Grayson County,, ,,,,,,,,
,City of Sherman,"39,269",139,2,3,28,106,"1,542",372,"1,077",93
,City of Denison,"23,125",94,1,10,15,68,"1,081",251,767,63
,Total area actually reporting,100.0%,311,3,32,48,228,"3,760","1,013","2,510",237
,"Rate per 100,000 inhabitants",,252.4,2.4,26.0,38.9,185.0,"3,051.0",822.0,"2,036.7",192.3
"Shreveport-Bossier City, LA M.S.A.2",,"447,514", ,,,,, ,,,
,"Includes Bossier,2 Caddo,2 De Soto, and Webster Parishes",,,,,,,,,,
,City of Shreveport,"202,164","1,550",17,92,433,"1,008","9,862","2,425","6,973",464
,City of  Bossier City,"63,116",236,2,19,52,163,"2,435",417,"1,949",69
,Total area actually reporting,99.1%,,24,134,526,,,"3,464","10,980",
,Estimated total,100.0%,,24,135,529,,,"3,494","11,106",
,"Rate per 100,000 inhabitants",,,5.4,30.2,118.2,,,780.8,"2,481.7",
"Sierra Vista-Douglas, AZ M.S.A.",,"134,744", ,,,,, ,,,
,Includes Cochise County,,,,,,,,,,
,City of Sierra Vista,"46,612",130,0,24,28,78,"1,541",246,"1,217",78
,City of Douglas,"17,743",199,1,2,5,191,614,92,487,35
,Total area actually reporting,99.0%,764,4,40,52,668,"3,570",713,"2,660",197
,Estimated total,100.0%,768,4,40,53,671,"3,619",723,"2,696",200
,"Rate per 100,000 inhabitants",,570.0,3.0,29.7,39.3,498.0,"2,685.8",536.6,"2,000.8",148.4
"Sioux City, IA-NE-SD M.S.A.",,"169,806", ,,,,, ,,,
,"Includes Plymouth and Woodbury Counties, IA; Dakota and Dixon Counties, NE; and Union County, SD",,,,,,,,,,
,"City of Sioux City, IA","83,289",274,2,30,46,196,"3,470",621,"2,645",204
,Total area actually reporting,98.3%,357,4,40,51,262,"4,530",852,"3,418",260
,Estimated total,100.0%,361,4,41,51,265,"4,569",857,"3,450",262
,"Rate per 100,000 inhabitants",,212.6,2.4,24.1,30.0,156.1,"2,690.7",504.7,"2,031.7",154.3
"Sioux Falls, SD M.S.A.",,"235,045", ,,,,, ,,,
,"Includes Lincoln, McCook, Minnehaha, and Turner Counties",,,,,,,,,,
,City of Sioux Falls,"158,354",631,2,139,70,420,"5,041",899,"3,843",299
,Total area actually reporting,100.0%,713,2,158,70,483,"5,816","1,130","4,342",344
,"Rate per 100,000 inhabitants",,303.3,0.9,67.2,29.8,205.5,"2,474.4",480.8,"1,847.3",146.4
"South Bend-Mishawaka, IN-MI M.S.A.",,"319,561",,,,,,,,,
,"Includes St. Joseph County, IN and Cass County, MI",, ,,,,,,,,
,"City of South Bend, IN","101,398",622,18,55,316,233,"4,827","1,744","2,798",285
,"City of Mishawaka, IN","48,363",160,3,22,55,80,"2,797",501,"2,138",158
,Total area actually reporting,95.9%,963,24,113,390,436,"9,815","2,969","6,292",554
,Estimated total,100.0%,999,24,117,398,460,"10,147","3,038","6,530",579
,"Rate per 100,000 inhabitants",,312.6,7.5,36.6,124.5,143.9,"3,175.3",950.7,"2,043.4",181.2
"Spartanburg, SC M.S.A.",,"318,548", ,,,,, ,,,
,Includes Spartanburg and Union Counties,,,,,,,,,,
,City of Spartanburg,"37,689",537,2,20,120,395,"2,694",479,"2,120",95
,Total area actually reporting,100.0%,"1,407",12,98,270,"1,027","10,591","2,695","7,241",655
,"Rate per 100,000 inhabitants",,441.7,3.8,30.8,84.8,322.4,"3,324.8",846.0,"2,273.1",205.6
"Spokane-Spokane Valley, WA M.S.A.",,"535,393", ,,,,, ,,,
,"Includes Pend Oreille, Spokane, and Stevens Counties",,,,,,,,,,
,City of Spokane,"212,163","1,369",13,81,537,738,"18,522","3,827","12,600","2,095"
,City of Spokane Valley,"91,164",196,1,31,67,97,"4,805",889,"3,484",432
,Total area actually reporting,100.0%,"1,859",21,149,662,"1,027","29,653","6,634","20,009","3,010"
,"Rate per 100,000 inhabitants",,347.2,3.9,27.8,123.6,191.8,"5,538.5","1,239.1","3,737.3",562.2
"Springfield, IL M.S.A.",,"211,646", ,,,,, ,,,
,Includes Menard and Sangamon Counties,,,,,,,,,,
,City of Springfield,"117,131","1,138",10,76,260,792,"6,945","1,670","5,033",242
,Total area actually reporting,89.3%,"1,378",13,105,290,970,"8,301","2,056","5,957",288
,Estimated total,100.0%,"1,430",14,111,304,"1,001","8,793","2,153","6,331",309
,"Rate per 100,000 inhabitants",,675.7,6.6,52.4,143.6,473.0,"4,154.6","1,017.3","2,991.3",146.0
"Springfield, MA M.S.A.",,"627,135", ,,,,, ,,,
,Includes Hampden and Hampshire Counties,,,,,,,,,,
